ASSESSID,ASSESSORID,STOCKID,RECORDER,DATERECORDED,DATELOADED,ASSESSYEAR,ASSESSSOURCE,CONTACTS,NOTES,PDFFILE,ASSESS,REFPOINTS,ASSESSMETHOD,ASSESSCOMMENTS,XLSFILENAME,MOSTRECENT
WGNSSK-CODNS-1962-2007-MINTO,WGNSSK,CODNS,MINTO,2008-04-11,2011-07-25,1962-2007,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-WGNSSK-2007.pdf,1,1,B-ADAPT,"The quality of the commercial landings and catch-at-age data for this stock deteriorated in the 1990s following reductions in the TAC without associated control of fishing effort. The WG considers the international landings figures from 1993 onwards to have inaccuracies that lead to retrospective underestimation of fishing mortality and over estimation of spawning stock biomass and other problems with an analytical assessment. The assessment is, however, consistent, despite problems with discards.",../spreadsheets/MINTO-CODNS-2007-example-editedDR-QAQC.xls,yes
PFMC-LINGCODNPCOAST-1956-2005-STANTON,PFMC,LINGCODNPCOAST,STANTON,2009-05-20,2011-07-25,1956-2005,http://www.pcouncil.org/groundfish/gfsafe0406/gfsafe0406.html,contact details ,NORTH part of PCOAST only. Separate assessment for South,2005-SAFE-WClingcod.pdf,1,1,SS2,no comments,../spreadsheets/STANTON-NorthLingcod-2005-editedDR.xls,yes
AFSC-RKCRABNS-1976-2008-JENSEN,AFSC,RKCRABNS,JENSEN,2009-04-13,2011-07-25,1976-2008,http://www.fakr.noaa.gov/npfmc/membership/plan_teams/CPT/CRABSAFE2008.pdf,,,CRABSAFE2008.pdf,1,1,LBA,,../spreadsheets/JENSEN-RKINGCRABNS-2008-editedDR-QAQC.xls,yes
CSIRO-SWHITSE-1945-2007-FULTON,CSIRO,SWHITSE,FULTON,2008-04-30,2011-07-25,1945-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,SWHITSE.pdf,1,1,SS2,Used v2.00h of SS2,../spreadsheets/Fulton-whiting-australia-2007_v2-editedDR-QAQC.xls,yes
MARAM-CRLOBSTERSA12-1910-2008-Johnston,MARAM,CRLOBSTERSA12,Johnston,2009-02-12,2011-07-25,1910-2008,Assessment conducted personally,"Susan Johnston, susan.holloway@uct.ac.za",,Johnston-SAWestRockLobster-2007.pdf,1,0,SCA,length based,../spreadsheets/Johnston-SAWestRockLobster-A1-2-2007-editedDR.xls,yes
NWFSC-LSTHORNHPCOAST-1962-2005-STANTON,NWFSC,LSTHORNHPCOAST,STANTON,2009-05-22,2011-07-25,1962-2005,http://www.pcouncil.org/groundfish/gfsafe0406/gfsafe0406.html,contact details ,SOUTH part of CAL only. Separate assessment for North of Point Conception,2005-SAFE-Longspine.pdf,1,1,SS2,no comments,../spreadsheets/STANTON-LongspineTH-2005-editedDR.xls,yes
NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON,NEFSC,WINDOWGOMGB,HENDRICKSON,2009-04-20,2011-07-25,1975-2007,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/crd0815.pdf,,,garm3p.pdf,1,1,SURBA,"used NMFS SA Toolbox method called ""AIM""; An Index-based Method",../spreadsheets/HENDRICKSON-WINDOWPANEGOMGB-2008-editedDR.xls,yes
IPHC-PHALNPAC-1988-2009-Parma,IPHC,PHALNPAC,Parma,2009-03-12,2011-07-25,1988-2009,http://www.iphc.washington.edu/halcom/research/sa/sa.html,Steven Hare (hare@iphc.washington.edu),,hare-clark08.pdf,1,1,AD-CAM,no comments,../spreadsheets/Parma-PHALCANUS-NPacific-editedDR-QAQC.xls,yes
DFO-SG-HERR4TFA-1974-2007-PREFONTAINE,DFO-SG,HERR4TFA,PREFONTAINE,2008-06-05,2011-07-25,1974-2007,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,"Claude Leblanc, claude.leblanc@dfo-mpo.gc.ca","The number of recruits for 2007 are geometric means of 1978-2006. Brec, Busr and Blrp are reference points taken from a 2005 report on spring and fall spawning herring called ""Spawning stock biomass reference points for spring and fall spawning herring in the Southern Gulf of St. Lawrence"" and written by Chouinard et al. Data for the time series of spawning stock biomass and fishing mortality were provided by Claude Leblanc.",NAFO-HERR4TFA-2007.pdf,1,1,SPA-ADAPT,no comments,../spreadsheets/PREFONTAINE-HERR4TFA-2007-editedRP-QAQC.xls,yes
DFO-HERR4VWX-1964-2006-PREFONTAINE,DFO,HERR4VWX,PREFONTAINE,2008-06-02,2011-07-27,1964-2006,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,contact details ,"The 4VWX stock is divided into four components: Southwestern Nova Scotia and Bay of Fundy, offshore Scotian shelf banks, coastal Nova Scotia and Southwestern New Brunswick. Information on catch and landings can be found in the assessment divided into different tables according to area and type of fishing gear. The two VPA models used ages 4-8 only as ages 2-3 are considered to be non-spawners and ages 9+ are too few in numbers. There is one unknown reference point included in this assessment; it is called ""reference value"" and it is a biomass of 12 000 metric tons; for more information on this read page 12 of the assessment.",NAFO-HERR4VWX-2006.pdf,1,1,ADAPT,no comments,../spreadsheets/PREFONTAINE-HERR4VWX-2006-editedRP.xls,yes
NEFSC-CODGB-1960-2008-BAUM,NEFSC,CODGB,BAUM,2008-10-24,2011-07-25,1960-2008,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/,,This stock (Georges Bank cod) covers NAFO areas 5Z and subarea 6.,NMFS-GB-Gadusmorhua-2008.pdf,1,1,ADAPT,"Split model chosen as final assessment model by GARM review panel. Fully recruited F was 4 in previous assessments, is now 5.",../spreadsheets/BAUM-CODGB-2008-lob-edits-editedDR.xls,yes
SEFSC-GRAMBERGM-1986-2004-JENSEN,SEFSC,GRAMBERGM,JENSEN,2008-11-19,2011-07-25,1986-2004,http://www.sefsc.noaa.gov/sedar/download/SEDAR9_SAR2%20GOM%20GreaterAmberjack.pdf?id=DOCUMENT,,from Fogarty database,JENSEN_GRAMBERGM_2006.pdf,1,1,ASPIC,,../spreadsheets/JENSEN-GRAMBERGM-2006-editedDR-QAQC.xls,yes
ICCAT-SKJWATL-1952-2006-JENSEN,ICCAT,SKJWATL,JENSEN,2009-04-11,2011-07-25,1952-2006,data received from contact.  Report online at: http://www.iccat.int/Documents/Meetings/Docs/2008_TROP_REP_EN.pdf,John Walter - NMFS,,JENSEN-YFINATL-2008.pdf,1,1,BSPM,,../spreadsheets/JENSEN-SKJWATL-2008-editedOJ.xls,yes
NEFSC-HADGB-1930-2008-BAUM,NEFSC,HADGB,BAUM,2008-10-30,2011-07-25,1930-2008,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/,,This stock is known as Georges Bank haddock.,NMFS-5Z-Melanogrammusaeglefinus-2008.pdf,1,1,NFT-ADAPT,,../spreadsheets/BAUM-HAD5Z-2008-editedDR.xls,yes
AFSC-GKINGCRABAIWS-1989-2007-JENSEN,AFSC,GKINGCRABAIWS,JENSEN,2009-04-13,2011-07-25,1989-2007,http://www.fakr.noaa.gov/npfmc/membership/plan_teams/CPT/CRABSAFE2008.pdf,,,CRABSAFE2008.pdf,1,1,AD-CAL,,../spreadsheets/JENSEN-GKINGCRABAIWS-2008-editedDR-QAQC.xls,yes
NAFO-SC-AMPL3M-1960-2007-BAUM,NAFO-SC,AMPL3M,BAUM,2009-05-28,2011-07-25,1960-2007,http://www.nafo.int/publications/frames/science.html,,"SSB-1 and R-1 are both taken from the EU surveys (Table 14) while SSB-2, R-2, F and total biomass are all taken from the XSA (Table 17). The SSB was calculated using 50% of the age 5 fish and the age 6+ fish.",NAFO-AMPL3M-2008.pdf,1,1,XSA,no comments,../spreadsheets/BAUM-AMPL3M-2008-editedDR.xls,yes
VNIRO-WPOLLWBS-1994-2004-JENSEN,VNIRO,WPOLLWBS,JENSEN,2009-11-11,2011-07-25,1994-2004,report received via email from Ray Hilborn,Ray Hilborn,"stock area unclear - title refers to Navarin Walleye Pollock, but catch is higher than SAUP catch for pollock in WBS",WPOLLWBS-2004-JENSEN.pdf,1,0,ISVPA,,../spreadsheets/JENSEN-WPOLLWBS-2004-editedDR.xls,yes
AFWG-CAPENOR-1965-2007-MINTO,AFWG,CAPENOR,MINTO,2008-04-08,2011-07-25,1965-2007,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-AFWG-2007.pdf,1,1,CapTool,"Full details of the model used are in The methodology is described in âÄúStock assessment methodology for the
Barents Sea capelinâÄù, WD # 8 to AFWG 2006.",../spreadsheets/MINTO-CAPENOR-2007-editedDR-QAQC.xls,yes
AFSC-GHALBSAI-1960-2009-STANTON,AFSC,GHALBSAI,STANTON,2009-04-07,2011-07-25,1960-2009,http://www.afsc.noaa.gov/refm/Stocks/assessments.htm,contact details ,,2008_SAFE_BSAIturbot.pdf,1,1,AD-CAM,no comments,../spreadsheets/STANTON-GHALBSAI-2008-editedDR-QAQC.xls,yes
INIDEP-ARGANCHONARG-1989-2007-Parma,INIDEP,ARGANCHONARG,Parma,2008-12-20,2011-07-25,1989-2007,URL,Jorge Hansen- jhansen@inidep.edu.ar,,Hansen-ANCHOVY-N-2007.pdf,1,1,ADAPT,no comments,../spreadsheets/Parma-ANCHOVY-ARG-N-2007-editedDR-QAQC.xls,yes
NWFSC-PHAKEPCOAST-1966-2008-BRANCH,NWFSC,PHAKEPCOAST,BRANCH,2008-11-24,2011-07-25,1966-2008,http://www.pcouncil.org/groundfish/gfsafe1008/pacific_hake_assessment_2008_FINAL.pdf,,,NWFSC-PHAKEPCOAST-2008-Pacific-Hake-US-Canada.pdf,1,1,SS2,,../spreadsheets/BRANCH-PHAKEPCOAST-2008-editedDR-QAQC.xls,yes
IMARPE-PANCHPERUNC-1963-2004-RICARD,IMARPE,PANCHPERUNC,RICARD,2010-07-21,2011-07-25,1963-2004,URL,contact details ,,Cahuin_etal_2009.pdf,1,0,VPA,no comments,../spreadsheets/RICARD-PERUVIANANCHOVETA-1963-2004-editedDR.xls,yes
NIWA-AUSSALMONNZ-1975-2006-JENSEN,NIWA,AUSSALMONNZ,JENSEN,2009-03-11,2011-07-25,1975-2006,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,"average of four model runs - no best or base model available, total biomass is from the middle of the fishing year, SSB is mid-spawn",CORDUEperscomm.pdf,1,1,CASAL,,../spreadsheets/JENSEN-KAHNZ-2006-editedDR.xls,yes
NWWG-HADICE-1977-2007-MINTO,NWWG,HADICE,MINTO,2008-04-10,2011-07-25,1977-2007,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-NWWG-2007.pdf,1,1,VPA,Assessment modelling framework is different from previous year when a statistical catch-at-age was used. ,../spreadsheets/MINTO-HADICE-2007-editedDR-QAQC.xls,yes
NWFSC-POPERCHPCOAST-1953-2007-BRANCH,NWFSC,POPERCHPCOAST,BRANCH,2008-11-24,2011-07-25,1953-2007,http://www.pcouncil.org/groundfish/gfsafe1008/POP2007AssessmentFinal.pdf,,,NWFSC-POPERCHPCOAST-2007-Pacific ocean perch.pdf,1,1,AD-CAM,,../spreadsheets/BRANCH-POPERCHPCOAST-2007-editedDR-QAQC.xls,yes
NZMFishHOKIWG-HOKIWNZ-1972-2007-FRANCIS,NZMFishHOKIWG,HOKIWNZ,FRANCIS,2008-09-18,2011-07-25,1972-2007,Chris Francis,,,FAR0804hok07.pdf,1,1,CASAL,Time series are point estimates (not Bayesian) for W stock from model 4.4,../spreadsheets/FRANCIS-HOK1W-2007-editedDR.xls,yes
SEFSC-BTIPSHARGM-1981-2004-FAUCONNET,SEFSC,BTIPSHARGM,FAUCONNET,2009-05-04,2011-07-25,1981-2004,http://www.sefsc.noaa.gov/sedar/,,,LargeCoastalAtl2006-SEFSC.pdf,1,1,SPASM,,../spreadsheets/FAUCONNET-BTIPSHARSATL-2006-editedDR.xls,yes
CSIRO-OROUGHYSE-1978-2007-FULTON,CSIRO,OROUGHYSE,FULTON,2008-04-30,2011-07-25,1978-2007,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,OROUGHYSE.pdf,1,1,SS2,Used 2007_1.00 of SS2,../spreadsheets/Fulton-east_orange_roughy-australia-2007_v2-editedDR-QAQC.xls,yes
NEFSC-WINFLOUND5Y-1982-2008-NITSCHKE,NEFSC,WINFLOUND5Y,NITSCHKE,2009-04-22,2011-07-25,1982-2008,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/,,no rebuilding program.,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/crd0815.pdf,1,1,Unknown,"VPA and SCALE models not accepted, TL are only commercial landings",../spreadsheets/NITSCHKE-WINTERFLGOM-2008-editedDR.xls,yes
SEFSC-SNOSESHARATL-1950-2005-FAUCONNET,SEFSC,SNOSESHARATL,FAUCONNET,2009-05-07,2011-07-25,1950-2005,http://www.sefsc.noaa.gov/sedar/,,,SmallcoastalAtl2007-SEFSC.pdf,1,1,ASPM,State-space age-structured production model,../spreadsheets/FAUCONNET-SNOSESHARATL-2007-editedDR.xls,yes
NEFSC-ILLEXNWATLC-1967-2005-HENDRICKSON,NEFSC,ILLEXNWATLC,HENDRICKSON,2009-04-20,2011-07-25,1967-2005,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/,,,scr06-46.pdf,1,0,AAPM,"Replacement Yield Model (simple production model), assumed linear increase in catch from 10 to 6000 mt during years 1800 to 1892",../spreadsheets/RAM-HENDRICKSON-ILLEX-2005-editedDR.xls,yes
SWFSC-GOPHERSPCOAST-1965-2005-STANTON,SWFSC,GOPHERSPCOAST,STANTON,2009-05-20,2011-07-25,1965-2005,http://www.pcouncil.org/groundfish/gfsafe0406/gfsafe0406.html,contact details ,North of Point conception only,2005-SAFE-Wcgopher.pdf,1,1,SS2,no comments,../spreadsheets/STANTON-WCgopher-2005-editedDR-QAQC-longtimeseries.xls,yes
AFSC-PERCHEBSAI-1974-2009-STANTON,AFSC,PERCHEBSAI,STANTON,2009-04-13,2011-07-25,1974-2009,http://www.afsc.noaa.gov/refm/Stocks/assessments.htm,contact details ,,2008_SAFE_BSAIpop.pdf,1,1,AD-CAM,no comments,../spreadsheets/STANTON-PERCHEBSAI-2008-editedDR-QAQC.xls,yes
MARAM-PTOOTHFISHPEI-1960-2008-DEDECKER,MARAM,PTOOTHFISHPEI,DEDECKER,2009-03-05,2011-07-25,1960-2008,From Anabela Brandao,"Anabela Brandao, Anabela.Brandao@uct.ac.za",,Branch-SA-Toothfish-2007.pdf,1,0,ASPM,,../spreadsheets/Branch-SA-PToothfish-2007-editedOJ.xls,yes
DFO-PAC-RSOLEHSTR-1945-2001-COLLIE,DFO-PAC,RSOLEHSTR,COLLIE,2008-04-21,2011-07-25,1945-2001,received from Contact,"Jeff Fargo, Pacific Biological Station <Jeff.Fargo@dfo-mpo.gc.ca>",this is a test entry only,Flat99.pdf,1,1,TSA,no comments,../spreadsheets/COLLIE-RSOLEHSTR-2001-editedDR-QAQC.xls,yes
SEFSC-SPANMACKSATLC-1950-2008-JENSEN,SEFSC,SPANMACKSATLC,JENSEN,2008-11-25,2011-07-25,1950-2008,http://www.sefsc.noaa.gov/sedar/download/S17%20SM%20SAR%201.pdf?id=DOCUMENT,,,JENSEN_SPANMACKSATLC_2008.pdf,1,1,SCA,very new assessment - differs from info in Fogarty files,../spreadsheets/JENSEN-SPANMACKSATLC-2008-editedDR-QAQC.xls,yes
NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN,NZMFishMIDDEPTHSWG,GEMFISHNZ,JENSEN,2009-03-11,2011-07-25,1952-2007,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,average of three model runs - no best or base model available,CORDUEperscomm.pdf,1,1,CASAL,,../spreadsheets/JENSEN-GEMFISHNZ-2007-v2-editedDR.xls,yes
NEFSC-AMPL5YZ-1960-2008-OBRIEN,NEFSC,AMPL5YZ,OBRIEN,2008-12-12,2011-07-25,1960-2008,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/garm3h.pdf,,This stock (American plaice ) covers NAFO areas 5Y and 5Ze., .pdf,1,1,ADAPT,"Base model with rho adjustment was chosen as final assessment model by GARM review panel. Fully recruited F was 5 in previous assessments, is now 6.",../spreadsheets/OBRIEN-APGMGB-2008-editedDR.xls,yes
DFO-SG-COD4TVn-1965-2009-RICARD,DFO-SG,COD4TVn,RICARD,2011-03-01,2011-07-25,1965-2009,http://www.dfo-mpo.gc.ca/csas/csas/Publications/Pub_Index_e.htm,contact details ,update from an earlier entry,Swain2009-Assessment-of-Southern-Gulf-Cod.pdf,1,1,ADAPT,Two different models were used to assess the NAFO 4TVn cod stock; these models took into account different mortalities which can both be found as a time series.,../spreadsheets/RICARD-COD4TVn-2007-editedDR.xls,yes
SWFSC-SARDPCOAST-1981-2007-PINSKY,SWFSC,SARDPCOAST,PINSKY,2009-03-27,2011-07-25,1981-2007,http://swfsc.noaa.gov/publications/TM/SWFSC/NOAA-TM-NMFS-SWFSC-413.PDF,,,NOAA-TM-NMFS-SWFSC-413.pdf,1,1,SS2,previously used ASAP model,../spreadsheets/PINSKY-SARDPCOAST-2007-editedDR.xls,yes
CSIRO-BTSHRIMPNAUST-1970-2006-FULTON,CSIRO,BTSHRIMPNAUST,FULTON,2008-04-30,2011-07-25,1970-2006,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,NORTHPRAWNS.pdf,1,1,Delay difference,,../spreadsheets/Fulton-brown_tiger_prawn-australia-2007_v2-editedDR-QAQC.xls,yes
SEFSC-GAGSATLC-1962-2005-JENSEN,SEFSC,GAGSATLC,JENSEN,2008-11-19,2011-07-25,1962-2005,http://www.sefsc.noaa.gov/sedar/download/S10_SAR1_SA_Gag_updated_ALL.pdf?id=DOCUMENT,,from Fogarty database,JENSEN_GAGSATLC_2006.pdf,1,1,AD-CAM,SEDAR 10: Atlantic gag (base run with constant catchability - see Tables 24 and 34),../spreadsheets/JENSEN-GAGSATLC-2006-editedDR-QAQC.xls,yes
NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN,NZMFishMIDDEPTHSWG,NZLINGLIN3-4,JENSEN,2009-03-09,2011-07-25,1972-2007,received from contact,Patrick Cordue - patrick.cordue@isl-solutions.co.nz,M = 0.18 - base model,CORDUEperscomm.pdf,1,1,CASAL,,../spreadsheets/JENSEN-PINKLINGNZ3-4-2007-v2-editedDR.xls,yes
ICCAT-ALBANATL-1929-2005-WORM,ICCAT,ALBANATL,WORM,2008-11-14,2011-07-25,1929-2005,http://www.iccat.int/Documents/Meetings/Docs/2007_ALB%20STOCK%20ASSESS%20REP_AUG_07.pdf,Michael Fogarty <mfogarty@mercury.wh.whoi.edu>,"Data taken from assessment for North Atlantic Stock, as provided by NMFS / Mike Fogarty",ref2007-ALB-STOCK-ASSESS-REP.pdf,1,1,VPA,VPA,../spreadsheets/WORM-ALBANATL-2007-editedDR-QAQC.xls,yes
ASMFC-LOBSTERSNE-1981-2007-STANTON,ASMFC,LOBSTERSNE,STANTON,2009-08-12,2011-07-25,1981-2007,http://www.asmfc.org/,contact details ,,2009-ASMFC-Am-Lob.pdf,1,1,CSM,no comments,../spreadsheets/STANTON-LOBSTERSNE-editedDR.xls,yes
NEFSC-HAD5Y-1956-2008-BAUM,NEFSC,HAD5Y,BAUM,2008-11-24,2011-07-25,1956-2008,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/,,This stock (Gulf of Maine haddock) covers NAFO area 5Y.,NMFS-GOM-Melanogrammusaeglefinus-2008.pdf,1,1,NFT-ADAPT,"Total catch (TC) includes US commericial landings, US commercial discards (estimated from 1963 - 2007), US recreational landings and international commercial landings. Total landings (TL) includes US commericial landings, US recreational landings and international commercial landings",../spreadsheets/PALMER-HADGOM-2008-editedDR.xls,yes
SEFSC-KMACKSATLC-1981-2001-JENSEN,SEFSC,KMACKSATLC,JENSEN,2008-11-23,2011-07-25,1981-2001,http://www.sefsc.noaa.gov/sedar/download/S5_SAR1_complete.pdf?id=DOCUMENT,,from Fogarty database,JENSEN_KMACKGMSATLC_2004.pdf,1,1,VPA,"years of time series data refer to the start year, i.e. 1992 is 1992-1993",../spreadsheets/JENSEN-KMACKSATLC-2004-editedDR.xls,yes
DFO-NFLD-COD2J3KL-1850-2005-RICARD,DFO-NFLD,COD2J3KL,RICARD,2011-02-11,2011-07-25,1850-2005,URL,contact details ,actually from fishsource right now,DFO-COD2J3KL-2006.pdf,1,1,ADAPT,no comments,../spreadsheets/RICARD-COD2J3KL-2006-editedDR.xls,yes
CSIRO-OROUGHYCASCADE-1987-2006-FULTON,CSIRO,OROUGHYCASCADE,FULTON,2008-04-30,2011-07-25,1987-2006,Received from CSIRO assessment team,Beth.Fulton@csiro.au,Based on fisheries data only,CSIRO-Cascade-Plateau-Stock-Assessment-2006.pdf,1,1,SS2,Used 2007_1.00 of SS2,../spreadsheets/Fulton-cascade_orange_roughy-australia-2007_v2-editedDR-QAQC.xls,yes
NWFSC-CHILISPCOAST-1892-2007-BRANCH,NWFSC,CHILISPCOAST,BRANCH,2008-11-21,2011-07-26,1892-2007,http://www.pcouncil.org/groundfish/gfsafe1008/ChilipepperDec17_2007_DBS.pdf,"John Field, John.Field@noaa.gov",,NWFSC-CHILISPCOAST-2007-Chilipepper CA OR.pdf,1,1,SS2,,../spreadsheets/BRANCH-CHILISPCOAST-2007-editedDR-summarybiomass.xls,yes
AFSC-ARFLOUNDGA-1958-2010-STANTON,AFSC,ARFLOUNDGA,STANTON,2009-04-21,2011-07-25,1958-2010,http://www.afsc.noaa.gov/refm/Stocks/assessments.htm,contact details ,,2008_SAFE_GOAatf.pdf,1,1,AD-CAM,no comments,../spreadsheets/STANTON-ARFLOUNDGA-2008-editedDR-QAQC.xls,yes
NEFSC-SHAKEGOMNGB-1955-2005-COL,NEFSC,SHAKEGOMNGB,COL,2009-04-24,2011-07-25,1955-2005,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0609/,,,SilverHake-2005-NEFSC-Assessment.pdf,1,1,RV,NEFSC fall survey index and exploitation index used to determine stock status,../spreadsheets/COL-SILVERHAKEGOMNGB-2005-editedOJ.xls,yes
SEFSC-RSNAPWGM-1880-2003-STANTON,SEFSC,RSNAPWGM,STANTON,2010-05-10,2011-07-25,1880-2003,,contact details ,,RedSnapper-SEDAR-2008.pdf,1,1,SCA,no comments,../spreadsheets/STANTON-RSNAPWGM-2005-editedDR.xls,yes
MARAM-KINGKLIPSA-1932-2008-DEDECKER,MARAM,KINGKLIPSA,DEDECKER,2009-03-29,2011-07-25,1932-2008,received from contact,Anabela Brandao Anabela.Brandao@uct.ac.za,,Branch-SA-Kingklip-2008.pdf,1,0,ASPM,,../spreadsheets/Branch-SA-Kingklip-2008-editedOJ.xls,yes
DFO-PAC-PCODWCVANI-1956-2002-COLLIE,DFO-PAC,PCODWCVANI,COLLIE,2008-04-13,2011-07-25,1956-2002,http://www.pac.dfo-mpo.gc.ca/sci/psarc/ResDocs/groundfish05_e.htm,"A.F. Sinclair, DFO Science Branch, Pacific Biological Station, Nanaimo, BC V9T 6N7, <Alan.Sinclair@dfo-mpo.gc.ca>",this is a test entry only,2002-113.pdf,1,1,Delay difference,preferred version of model used that included shrimp-trawl data,../spreadsheets/COLLIE-PCODWCVANI-2002-editedDR-QAQC.xls,yes
NEFSC-MACKGOMCHATT-1960-2005-OVERHOLTZ,NEFSC,MACKGOMCHATT,OVERHOLTZ,2009-04-29,2011-07-25,1960-2005,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0609/,,,AtlanticMackerel2005.pdf,1,1,VPA,,../spreadsheets/OVERHOLTZ-ATLMACKEREL-2005-editedDR.xls,yes
NWFSC-CROCKPCOAST-1916-2009-Stachura,NWFSC,CROCKPCOAST,Stachura,2011-03-15,2011-07-26,1916-2009,http://www.pcouncil.org/wp-content/uploads/2009_canary_updated_assessment_SAFE_version.pdf,"Ian Stewart, NWFSC, NOAA, Ian.Stewart@noaa.gov",,NWFSC-CROCKPCOAST-2009.pdf,1,1,SS2,Stock Synthesis v3.03a,../spreadsheets/STACHURA-CROCKPCOAST-2009-editedDR.xls,yes
IMARM-SFMAKONWPAC-1990-2003-FAUCONNET,IMARM,SFMAKONWPAC,FAUCONNET,2009-06-11,2011-07-25,1990-2003,received from Julia Baum,Jui-Han Chang (Jui-Han_Chang@umit.maine.edu) and Kwang-Ming Liu (kmliu@mail.ntou.edu.tw),"full report in Chinese, but details provided by authors",Chang-Liu-2009-Shortfin-mako-NWPAC.pdf,1,1,VPA,"VPA, spawning per recruit analysis and yield per recruit analysis",../spreadsheets/FAUCONNET-SFINMAKNWPAC-2009-editedDR.xls,yes
WGSSDS-PLAICCELT-1976-2006-JENNINGS,WGSSDS,PLAICCELT,JENNINGS,2008-11-22,2011-07-25,1976-2006,http://www.ices.dk,NULL,NULL,ICES-WGSSDS-2007.pdf,1,1,XSA,NULL,../spreadsheets/JENNINGS-ICES-PLECELT-1977-2007-editedDR-QAQC.xls,yes
ADFG-HERRPWS-1980-2006-COLLIE,ADFG,HERRPWS,COLLIE,2008-12-08,2011-07-25,1980-2006,received from Contact,"Peter-John Frederick Hulson, p.hulson@uaf.edu",The data are from ADF&G; Pete did the assessment as part of his M.S.,Hulson-etal-2008-ICESJM.pdf,1,0,AD-CAM,Model/data from Hulson et al 2008,../spreadsheets/COLLIE-HERRPWS-2006-editedOJ.xls,yes
NEFSC-WITFLOUN5Y-1982-2008-WIGLEY,NEFSC,WITFLOUN5Y,WIGLEY,2008-12-10,2011-07-25,1982-2008,http://www.nefsc.noaa.gov/nefsc/publications/crd/crd0815/,,,crd0815.pdf,1,1,VPA,NFT toolbox ver 2.7.7,../spreadsheets/WIGLEY-WITCH-2008-editedDR.xls,yes
WGNSSK-SOLEVIId-1981-2006-MINTO,WGNSSK,SOLEVIId,MINTO,2008-04-13,2011-07-25,1981-2006,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-WGNSSK-2007.pdf,1,1,XSA,Blim is not defined for this population,../spreadsheets/MINTO-SOLEVIId-2007-editedDR-QAQC.xls,yes
NWFSC-PSOLESPCOAST-1874-2005-STANTON,NWFSC,PSOLESPCOAST,STANTON,2009-05-20,2011-07-25,1874-2005,http://www.pcouncil.org/groundfish/gfsafe0406/gfsafe0406.html,contact details ,SOUTH part of PCOAST only. Separate assessment for North part,ref2004-SAFE-WCpetralesole.pdf,1,1,SS2,no comments,../spreadsheets/STANTON-SouthPetraleSole-2004-editedDR.xls,yes
NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH,NWFSC,YEYEROCKPCOAST,BRANCH,2008-11-23,2011-07-26,1923-2006,http://www.pcouncil.org/groundfish/gfsafe1008/Yelloweye_Update_2007_Final_Updated.pdf,"John Wallace, john.wallace@noaa.gov",Assessment updated since posted online most of new data direct from John Wallace,NWFSC-YEYEROCKPCOAST-2007-yelloweye.pdf,1,1,SS2,,../spreadsheets/BRANCH-YEYEROCKPCOAST-2007-editedDR-summarybiomass-SSBcorrected.xls,yes
NWWG-HADFAPL-1955-2006-MINTO,NWWG,HADFAPL,MINTO,2008-04-08,2011-07-25,1955-2006,http://www.ices.dk/products/CMdocs/CM-2007/CM2007.pdf,NULL,NULL,ICES-NWWG-2007.pdf,1,1,VPA,,../spreadsheets/MINTO-HADFAPL-2007-editedDR-QAQC.xls,yes
WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS,WGMHSA,SARDPVIIIc-IXa,JENNINGS,2008-11-21,2011-07-25,1978-2007,http://www.ices.dk,NULL,NULL,ICES-WGMHSA07.pdf,1,0,AMCI,NULL,../spreadsheets/JENNINGS-ICES-SARSOTH-1978-2007-editedDR-QAQC.xls,yes
